cliente_id,cliente_nombre,cliente_ip,cliente_mac,matched
,,172.24.78.82,nan,False
,,172.24.51.47,nan,False
,,172.24.78.4,nan,False
,,nan,nan,False
,,172.24.51.4,nan,False
,,172.24.79.32,nan,False
,,nan,nan,False
,,172.24.79.37,nan,False
,,172.24.79.40,nan,False
,,nan,nan,False
,,172.24.78.26,nan,False
,,nan,nan,False
,,172.24.76.23,nan,False
,,nan,nan,False
,,172.24.80.18,nan,False
,,nan,nan,False
,,172.24.51.70,nan,False
,,172.24.79.38,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.54,nan,False
,,nan,nan,False
,,172.24.76.9,nan,False
,,172.24.81.19,nan,False
,,172.24.76.48,nan,False
,,172.24.81.27,nan,False
,,172.24.81.37,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.42,nan,False
,,172.24.77.12,nan,False
,,172.24.78.84,nan,False
,,172.24.76.25,nan,False
,,nan,nan,False
,,172.24.51.133,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.46,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.51,nan,False
,,nan,nan,False
,,172.24.80.52,nan,False
,,nan,nan,False
,,172.24.80.53,nan,False
,,172.24.80.58,nan,False
,,nan,nan,False
,,172.24.80.71,nan,False
,,172.24.80.74,nan,False
,,172.24.80.72,nan,False
,,172.24.80.75,nan,False
,,nan,nan,False
,,172.24.77.28,e0:63:da:9e:2a:5f,False
,,172.24.80.85,nan,False
,,172.24.80.79,nan,False
,,172.24.77.50,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.49,nan,False
,,nan,nan,False
,,172.24.80.90,nan,False
,,nan,nan,False
,,172.24.51.77,fc:ec:da:28:d8:1e,False
,,nan,nan,False
,,172.24.81.43,fc:ec:da:26:a0:56,False
,,nan,nan,False
,,172.24.75.17,nan,False
,,172.24.81.46,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.81.50,nan,False
,,nan,nan,False
,,172.24.78.89,nan,False
,,nan,nan,False
,,172.24.51.79,nan,False
,,172.24.78.91,nan,False
,,172.24.80.24,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.28,nan,False
,,172.24.83.66,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.83.65,nan,False
,,172.24.51.78,nan,False
,,172.24.83.70,nan,False
,,172.24.83.101,nan,False
,,172.24.83.69,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.36,nan,False
,,172.24.78.92,nan,False
,,nan,nan,False
,,172.24.83.54,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.20,nan,False
,,172.24.81.44,nan,False
,,nan,nan,False
,,172.24.78.96,nan,False
,,172.24.81.98,nan,False
,,172.24.78.97,nan,False
,,172.24.78.98,nan,False
,,172.24.78.99,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.41,nan,False
,,172.24.78.102,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.192,24:5a:4c:36:67:22,False
,,172.24.79.11,nan,False
,,nan,nan,False
,,172.24.78.105,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.49,nan,False
,,172.24.78.109,nan,False
,,172.24.79.50,nan,False
,,172.24.78.200,nan,False
,,172.24.81.56,nan,False
,,nan,nan,False
,,172.24.78.114,nan,False
,,172.24.77.25,nan,False
,,172.24.79.48,nan,False
,,172.24.83.15,nan,False
,,172.24.81.77,nan,False
,,172.24.75.18,nan,False
,,172.24.79.53,nan,False
,,172.24.79.56,nan,False
,,172.24.51.50,nan,False
,,nan,nan,False
,,172.24.78.115,nan,False
,,nan,nan,False
,,172.24.80.32,nan,False
,,172.24.80.34,nan,False
,,172.24.80.39,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.14,nan,False
,,nan,nan,False
,,172.24.78.120,nan,False
,,172.24.75.25,74:83:c2:58:96:ce,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.174,24:5a:4c:e8:f2:f3,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.126,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.127,nan,False
,,172.24.79.24,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.21,nan,False
,,172.24.76.67,nan,False
,,172.24.78.25,nan,False
,,nan,nan,False
,,172.24.78.123,24:5a:4c:e8:5a:4a,False
,,nan,nan,False
,,172.24.76.32,24:5a:4c:ee:29:d3,False
,,172.24.51.51,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.13,nan,False
,,172.24.78.107,nan,False
,,172.24.79.23,nan,False
,,nan,nan,False
,,172.24.78.51,nan,False
,,172.24.77.21,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.119,nan,False
,,172.24.79.103,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.81.90,nan,False
,,172.24.78.122,nan,False
,,nan,nan,False
,,172.24.51.30,nan,False
,,172.24.40.31,b4:fb:e4:a0:14:95,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.68,nan,False
,,172.24.76.40,nan,False
,,172.24.80.25,nan,False
,,nan,nan,False
,,172.24.78.116,nan,False
,,nan,nan,False
,,172.24.80.2,nan,False
,,172.24.51.86,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.15,nan,False
,,172.24.80.116,nan,False
,,nan,nan,False
,,172.24.80.40,nan,False
,,172.24.80.9,nan,False
,,172.24.79.91,nan,False
,,172.24.79.6,nan,False
,,172.24.81.4,24:5a:4c:ee:36:11,False
,,nan,nan,False
,,172.24.51.74,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.112,nan,False
,,nan,nan,False
,,172.24.77.3,nan,False
